country_code,region_name,iata,icao,airport,lat,lon,city_n_zh,province_n_zh,city_n_en,province_n_en
CN,Shandong,TAO,ZSQD,Qingdao Liuting International Airport,36.2661,120.374,青岛市,山东省,Qingdao,Shandong
CN,Shandong,TNA,ZSJN,Jinan Yaoqiang International Airport,36.8572,117.216,济南市,山东省,Jinan,Shandong
CN,Shandong,WEF,ZSWF,Weifang Airport,36.6467,119.119,潍坊市,山东省,Weifang,Shandong
CN,Shandong,WEH,ZSWH,Weihai Dashuibo Airport,37.1871,122.229,威海市,山东省,Weihai,Shandong
CN,Shandong,YNT,ZSYT,Yantai Penglai International Airport,37.6572,120.987,烟台市,山东省,Yantai,Shandong
CN,Shandong Sheng,HZA,ZSHZ,Heze Mudan Airport,35.2133,115.737,菏泽市,山东省,Heze,Shandong
CN,Shanghai,PVG,ZSPD,Shanghai Pudong International Airport,31.1434,121.805,上海市,上海市,Shanghai,Shanghai
CN,Shanghai,SHA,ZSSS,Shanghai Hongqiao International Airport,31.1979,121.336,上海市,上海市,Shanghai,Shanghai
CN,Shanxi,YCU,ZBYC,Yuncheng Guangong Airport,35.1164,111.031,运城市,山西省,Yuncheng,Shanxi
CN,Sichuan,AHJ,ZUHY,Hongyuan Airport,32.5315,102.352,阿坝藏族羌族自治州,四川省,Abazangzuqiangzu,Sichuan
CN,Sichuan,BZX,,Bazhong Enyang Airport,31.7384,106.645,巴中市,四川省,Bazhong,Sichuan
CN,Sichuan,CTU,ZUUU,Chengdu Shuangliu International Airport,30.5785,103.947,成都市,四川省,Chengdu,Sichuan
CN,Sichuan,DAX,ZUDX,Dazhou Heshi Airport,31.1302,107.429,达州市,四川省,Dazhou,Sichuan
CN,Sichuan,DCY,ZUDC,Daocheng Yading Airport,29.3231,100.053,甘孜藏族自治州,四川省,Ganzizangzu,Sichuan
CN,Sichuan,GHN,ZUGH,Guanghan Airport,30.9485,104.33,德阳市,四川省,Deyang,Sichuan
CN,Sichuan,GYS,ZUGU,Guangyuan Panlong Airport,32.3911,105.702,广元市,四川省,Guangyuan,Sichuan
CN,Sichuan,JZH,ZUJZ,Jiuzhai Huanglong Airport,32.8533,103.682,阿坝藏族羌族自治州,四川省,Abazangzuqiangzu,Sichuan
